name,639-1,639-2/B,639-2/T,639-3,baidu,caiyun,deepl,google,m2m100,mbart-50,mymemory,mymemory-short,nllb,papago,youdao
Abkhazian,ab,abk,,,,,,ab,,,,,,,
Achinese Latin,,,,,,,,,,,,,ace_Latn,,
Achinese,,ace,,ace,,,,ace,,,,,ace_Arab,,
Acoli,,ach,,,ach,,,ach,,,,,,,
Afrikaans,af,afr,,afr_Latn,afr,,,af,__af__,af_ZA,af-ZA,af,afr_Latn,,af
Akan,ak,aka,,aka,aka,,,ak,,,,,aka_Latn,,
Albanian,sq,alb,sqi,,alb,,,sq,__sq__,,sq-AL,sq,,,sq
Algerian Arabic,,,,arq,arq,,,,,,,,,,
Alur,,,,alz,,,,alz,,,,,,,
Amharic,am,amh,,amh_Ethi,amh,,,am,__am__,,am-ET,am,amh_Ethi,,am
Antigua and Barbuda Creole English,,,,aig,,,,,,,aig-AG,aig,,,
Arabic,ar,ara,,,ara,,AR,ar,__ar__,ar_AR,ar-SA,ar,,ar,ar
Aragonese,an,arg,,arg,arg,,,,,,,,,,
Armenian,hy,arm,hye,hye_Armn,arm,,,hy,__hy__,,hy-AM,hy,hye_Armn,,hy
Assamese,as,,,asm,asm,,,as,,,,,asm_Beng,,
Asturian,,ast,,ast_Latn,ast,,,,__ast__,,,,ast_Latn,,
Awadhi,,awa,,awa,,,,awa,,,,,awa_Deva,,
Ayacucho Quechua,,,,quy,,,,,,,,,quy_Latn,,
Aymara,ay,aym,,,aym,,,ay,,,,,,,
Azerbaijani,az,aze,,,aze,,,az,__az__,az_AZ,az-AZ,az,,,az
Bahamas Creole English,,,,bah,,,,,,,bah-BS,bah,,,
Bajan,,,,bjs,,,,,,,bjs-BB,bjs,,,
Balinese,,ban,,ban,,,,ban,,,,,ban_Latn,,
Baluchi,,bal,,,bal,,,,,,,,,,
Bambara,bm,bam,,bam,,,,bm,,,,,bam_Latn,,
Banjar Latin,,,,,,,,,,,,,bjn_Latn,,
Banjar,,,,bjn,,,,,,,,,bjn_Arab,,
Barí,,,,mot,mot,,,,,,,,,,
Bashkir,ba,bak,,bak_Cyrl,bak,,,ba,__ba__,,,,bak_Cyrl,,
Basque,eu,eus,baq,eus,baq,,,eu,,,eu-ES,eu,eus_Latn,,eu
Batak Karo,,,,btx,,,,btx,,,,,,,
Batak Simalungun,,,,bts,,,,bts,,,,,,,
Batak Toba,,,,bbc,,,,bbc,,,,,,,
Belarusian,be,bel,,bel_Cyrl,bel,,,be,__be__,,be-BY,be,bel_Cyrl,,be
Bemba,,bem,,bem,bem,,,bem,,,bem-ZM,bem,bem_Latn,,
Bengali,bn,ben,,ben_Beng,ben,,,bn,__bn__,bn_IN,bn-IN,bn,ben_Beng,,bn
Berber languages,,ber,,,ber,,,,,,,,,,
Betawi,,,,bew,,,,bew,,,,,,,
Bhojpuri,,bho,,bho,bho,,,bho,,,,,bho_Deva,,
Bikol,,bik,,,,,,bik,,,,,,,
Bislama,bi,bis,,,bis,,,,,,bi-VU,bi,,,
Bolia,,,,bli,bli,,,,,,,,,,
Bosnian,bs,bos,,bos_Latn,bos,,,bs,__bs__,,bs-BA,bs,bos_Latn,,bs
Breton,br,bre,,,bre,,,br,__br__,,br-FR,br,,,
Buginese,,,,bug,,,,,,,,,bug_Latn,,
Bulgarian,bg,bul,,bul_Cyrl,bul,,BG,bg,__bg__,,bg-BG,bg,bul_Cyrl,,bg
Buriat,,bua,,,,,,bua,,,,,,,
Burmese,my,bur,mya,mya_Mymr,bur,,,my,__my__,my_MM,my-MM,my,mya_Mymr,,my
Canadian French,,,,,frn,,,,,,,,,,
Catalan,ca,cat,,cat_Latn,cat,,,ca,__ca__,,ca-ES,ca,cat_Latn,,ca
Cebuano,,ceb,,ceb_Latn,ceb,,,ceb,__ceb__,,ceb-PH,ceb,ceb_Latn,,ceb
Central Atlas Tamazight,,,,tzm,,,,,,,,,tzm_Tfng,,
Central Aymara,,,,ayr,,,,,,,,,ayr_Latn,,
Central Kanuri Latin,,,,,,,,,,,,,knc_Latn,,
Central Kanuri,,,,knc,,,,,,,,,knc_Arab,,
Central Khmer,km,khm,,khm_Khmr,hkm,,,km,__km__,km_KH,km-KM,km,khm_Khmr,,km
Central Kurdish,,,,ckb,,,,ckb,,,ckb-IQ,ckb,ckb_Arab,,
Chamorro,ch,cha,,,,,,,,,ch-GU,ch,,,
Cherokee,,chr,,,chr,,,,,,,,,,
Chhattisgarhi,,,,hne,,,,,,,,,hne_Deva,,
Chichewa; Chewa; Nyanja,ny,nya,,nya,nya,,,ny,,,ny-MW,ny,nya_Latn,,ny
Chiga,,,,cgg,,,,cgg,,,,,,,
Chinese Traditional,,,,,,zh,,zh-TW,,,zh-TW,,zho_Hans,zh-TW,zh-CHT
Chinese,zh,chi,zho,zho_Hant,zh,zh-Hant,ZH,zh-CN,__zh__,zh_CN,zh-CN,zh,zho_Hant,zh-CN,zh-CHS
Chokwe,,,,cjk,,,,,,,,,cjk_Latn,,
Cholón,,,,cht,cht,,,,,,,,,,
Chuvash,cv,chv,,,chv,,,cv,,,,,,,
Classical Chinese,,,,,wyw,,,,,,,,,,
Classical Syriac,,syc,,,,,,,,,syc-TR,syc,,,
Coptic,,cop,,,,,,,,,cop-EG,cop,,,
Cornish,kw,cor,,,cor,,,,,,,,,,
Corsican,co,cos,,,cos,,,co,,,,,,,co
Cree,cr,cre,,,cre,,,,,,,,,,
Crimean Crimean Tatar; Crimean Crimean Turkish,,,,crh,,,,,,,,,crh_Latn,,
Crimean Tatar; Crimean Turkish,,crh,,,,,,crh,,,,,,,
Croatian,hr,hrv,,hrv_Latn,hrv,,,hr,__hr__,hr_HR,hr-HR,hr,hrv_Latn,,hr
Czech,cs,cze,ces,ces_Latn,cs,,CS,cs,__cs__,cs_CZ,cs-CZ,cs,ces_Latn,,cs
Danish,da,dan,,dan_Latn,dan,,DA,da,__da__,,da-DK,da,dan_Latn,,da
Dari,,,,prs,,,,,,,,,prs_Arab,,
Degexit'an,,,,ing,ing,,,,,,,,,,
Dinka,,din,,,,,,din,,,,,,,
Divehi; Dhivehi; Maldivian,dv,div,,,div,,,dv,,,dv-MV,dv,,,
Dogri,,doi,,,,,,doi,,,,,,,
Dombe,,,,dov,,,,dov,,,,,,,
Dutch,nl,dut,nld,nld_Latn,nl,,NL,nl,__nl__,nl_XX,nl-NL,nl,nld_Latn,,nl
Dyula,,,,dyu,,,,,,,,,dyu_Latn,,
Dzongkha,dz,dzo,,dzo,,,,dz,,,dz-BT,dz,dzo_Tibt,,
Eastern Ngad'a,,,,nea,nea,,,,,,,,,,
Eastern Yiddish,,,,ydd,,,,,,,,,ydd_Hebr,,
Egyptian Arabic,,,,arz,,,,,,,,,arz_Arab,,
Enggano,,,,eno,eno,,,,,,,,,,
English,en,eng,,eng_Latn,en,en,EN,en,__en__,en_XX,en-GB,en,eng_Latn,en,en
Esperanto,eo,epo,,epo,epo,,,eo,,,eo-EU,eo,epo_Latn,,eo
Estonian,et,est,,est_Latn,est,,ET,et,__et__,et_EE,et-EE,et,est_Latn,,et
Ewe,ee,ewe,,ewe,,,,ee,,,,,ewe_Latn,,
Fanagalo,,,,fng,,,,,,,fn-FNG,fng,,,
Faroese,fo,fao,,fao,fao,,,,,,fo-FO,fo,fao_Latn,,
Fijian,fj,fij,,fij,,,,fj,,,,,fij_Latn,,fj
Filipino; Pilipino,,fil,,,fil,,,,,,,,,,
Finnish,fi,fin,,fin_Latn,fin,,FI,fi,__fi__,fi_FI,fi-FI,fi,fin_Latn,,fi
Fon,,,,fon,,,,,,,,,fon_Latn,,
French,fr,fre,fra,fra_Latn,fra,fr,FR,fr,__fr__,fr_XX,fr-FR,fr,fra_Latn,fr,fr
French; Middle (ca.1400-1600),,frm,,,frm,,,,,,,,,,
Friulian,,,,fur,fri,,,,,,,,fur_Latn,,
Fulah,ff,ful,,,ful,,,ff,__ff__,,,,,,
Ga,,gaa,,,,,,gaa,,,,,,,
Gaelic,gd,gla,,gla_Latn,gla,,,gd,__gd__,,gd-GB,gd,gla_Latn,,gd
Galician,gl,glg,,glg_Latn,glg,,,gl,__gl__,gl_ES,gl-ES,gl,glg_Latn,,gl
Ganda,lg,lug,,lug_Latn,lug,,,lg,__lg__,,,,lug_Latn,,
Georgian,ka,geo,kat,kat_Geor,geo,,,ka,__ka__,ka_GE,ka-GE,ka,kat_Geor,,ka
German,de,ger,deu,deu_Latn,de,de,DE,de,__de__,de_DE,de-DE,de,deu_Latn,de,de
Goan Konkani,,,,gom,,,,gom,,,,,,,
Greek,el,gre,ell,ell_Grek,el,,EL,el,__el__,,el-GR,el,ell_Grek,,el
Greek; Ancient (to 1453),,grc,,,,,,,,,grc-GR,grc,,,
Grenadian Creole English,,,,gcl,,,,,,,gcl-GD,gcl,,,
Guarani,gn,grn,,grn,grn,,,gn,,,,,grn_Latn,,
Gujarati,gu,guj,,guj_Gujr,guj,,,gu,__gu__,gu_IN,gu-IN,gu,guj_Gujr,,gu
Guyanese Creole English,,,,gyn,,,,,,,gyn-GY,gyn,,,
Haitian,ht,hat,,hat_Latn,ht,,,ht,__ht__,,ht-HT,ht,hat_Latn,,ht
Hakha Chin,,,,cnh,,,,cnh,,,,,,,
Hakka Chinese,,,,hak,hak,,,,,,,,,,
Halh Mongolian,,,,khk,,,,,,,,,khk_Cyrl,,
Hausa,ha,hau,,hau_Latn,hau,,,ha,__ha__,,ha-NE,ha,hau_Latn,,ha
Hawaiian,,haw,,,haw,,,haw,,,haw-US,haw,,,haw
Hebrew,he,heb,,heb_Hebr,heb,,,he,__he__,he_IL,he-IL,he,heb_Hebr,,he
Hiligaynon,,hil,,,hil,,,hil,,,,,,,
Hindi,hi,hin,,hin_Deva,hi,,,hi,__hi__,hi_IN,hi-IN,hi,hin_Deva,hi,hi
Hmong Daw,,,,,,,,,,,,,,,mww
Hmong; Mong,,hmn,,,hmn,,,hmn,,,,,,,
Huautla Mazatec,,,,mau,mau,,,,,,,,,,
Hungarian,hu,hun,,hun_Latn,hu,,HU,hu,__hu__,,hu-HU,hu,hun_Latn,,hu
Hunsrik,,,,hrx,,,,hrx,,,,,,,
Hupa,,hup,,,hup,,,,,,,,,,
Icelandic,is,ice,isl,isl_Latn,ice,,,is,__is__,,is-IS,is,isl_Latn,,is
Ido,io,ido,,,ido,,,,,,,,,,
Igbo,ig,ibo,,ibo_Latn,ibo,,,ig,__ig__,,,,ibo_Latn,,ig
Iloko,,ilo,,ilo_Latn,,,,ilo,__ilo__,,,,ilo_Latn,,
Indonesian,id,ind,,ind_Latn,id,,ID,id,__id__,id_ID,id-ID,id,ind_Latn,id,id
Interlingua (International Auxiliary Language Association),ia,ina,,,ina,,,,,,,,,,
Inuktitut,iu,iku,,,iku,,,,,,,,,,
Iranian Persian,,,,pes,,,,,,,,,pes_Arab,,
Irish,ga,gle,,gle_Latn,gle,,,ga,__ga__,,ga-IE,ga,gle_Latn,,ga
Italian,it,ita,,ita_Latn,it,it,IT,it,__it__,it_IT,it-IT,it,ita_Latn,it,it
Jamaican Creole English,,,,jam,,,,,,,jam-JM,jam,,,
Japanese,ja,jpn,,jpn_Jpan,jp,ja,JA,ja,__ja__,ja_XX,ja-JP,ja,jpn_Jpan,ja,ja
Javanese,jv,jav,,jav_Latn,jav,,,jv,__jv__,,jv-ID,jv,jav_Latn,,jw
Kabiyè,,,,kbp,,,,,,,,,kbp_Latn,,
Kabuverdianu,,,,kea,,,,,,,kea-CV,kea,kea_Latn,,
Kabyle,,kab,,kab,kab,,,,,,kab-DZ,kab,kab_Latn,,
Kachin; Jingpho,,,,kac,,,,,,,,,kac_Latn,,
Kalaallisut; Greenlandic,kl,kal,,,kal,,,,,,kl-GL,kl,,,
Kalumpang,,,,kli,kli,,,,,,,,,,
Kamba,,,,kam,,,,,,,,,kam_Latn,,
Kannada,kn,kan,,kan_Knda,kan,,,kn,__kn__,,kn-IN,kn,kan_Knda,,kn
Kanuri,kr,kau,,,kau,,,,,,,,,,
Kara (Central African Republic),,,,kah,kah,,,,,,,,,,
Kashmiri Deva,,,,,,,,,,,,,kas_Arab,,
Kashmiri,,,,kas,kas,,,,,,,,kas_Deva,,
Kazakh,kk,kaz,,kaz_Cyrl,,,,kk,__kk__,kk_KZ,kk-KZ,kk,kaz_Cyrl,,kk
Kikuyu; Gikuyu,,,,kik,,,,,,,,,kik_Latn,,
Kimbundu,,,,kmb,,,,,,,,,kmb_Latn,,
Kinyarwanda,rw,kin,,kin,kin,,,rw,,,rw-RW,rw,kin_Latn,,
Kirghiz; Kyrgyz,ky,kir,,kir,kir,,,ky,,,ky-KG,ky,kir_Cyrl,,ky
Kituba (Democratic Republic of Congo),,,,ktu,,,,ktu,,,,,,,
Klingon,,,,,,,,,,,,,,,tlh
Kongo,,,,kon,kon,,,,,,,,kon_Latn,,
Konkani,,kok,,,kok,,,,,,,,,,
Korean,ko,kor,,kor_Hang,kor,ko,KO,ko,__ko__,ko_KR,ko-KR,ko,kor_Hang,ko,ko
Krio,,,,kri,,,,kri,,,,,,,
Kurdish,ku,kur,,kur,kur,,,ku,,,ku-TR,ku,,,ku
Langi,,,,lag,lag,,,,,,,,,,
Lao,lo,lao,,lao_Laoo,lao,,,lo,__lo__,,lo-LA,lo,lao_Laoo,,lo
Latgalian,,,,ltg,,,,ltg,,,,,ltg_Latn,,
Latin,la,lat,,lat,lat,,,la,,,la-VA,la,,,la
Latvian,lv,lav,,,lav,,LV,lv,__lv__,lv_LV,lv-LV,lv,,,lv
Ligurian,,,,lij,,,,lij,,,,,lij_Latn,,
Limburgan; Limburger; Limburgish,li,lim,,lim,lim,,,li,,,,,lim_Latn,,
Lingala,ln,lin,,lin_Latn,lin,,,ln,__ln__,,,,lin_Latn,,
Lithuanian,lt,lit,,lit_Latn,lit,,LT,lt,__lt__,lt_LT,lt-LT,lt,lit_Latn,,lt
Logo,,,,log,log,,,,,,,,,,
Logudorese Sardinian,,,,src,src,,,,,,,,,,
Lombard,,,,lmo,,,,lmo,,,,,lmo_Latn,,
Loniu,,,,los,los,,,,,,,,,,
Lou,,,,loj,loj,,,,,,,,,,
Luba-Luba-Lulua,,,,lua,,,,,,,,,lua_Latn,,
Luo (Kenya and Tanzania),,luo,,,,,,luo,,,,,,,
Luo language (Kenya and Tanzania)|Luo (Kenya and Tanzania),,,,luo,,,,,,,,,luo_Latn,,
Lushai,,lus,,lus,,,,lus,,,,,lus_Latn,,
Luxembourgish,lb,ltz,,ltz_Latn,ltz,,,lb,__lb__,,lb-LU,lb,ltz_Latn,,lb
Macedonian,mk,mac,mkd,mkd_Cyrl,mac,,,mk,__mk__,mk_MK,mk-MK,mk,mkd_Cyrl,,mk
Magahi,,,,mag,,,,,,,,,mag_Deva,,
Maithili,,mai,,mai,mai,,,mai,,,,,mai_Deva,,
Makasar,,mak,,,,,,mak,,,,,,,
Mala Nigeria,,,,ruy,ruy,,,,,,,,,,
Mala Papua New Guinea,,,,ped,ped,,,,,,,,,,
Malagasy,mg,mlg,,,mg,,,mg,__mg__,,mg-MG,mg,,,mg
Malay Arab,,,,,,,,ms-Arab,,,,,,,
Malay,ms,may,msa,,may,,,ms,__ms__,,ms-MY,ms,,,ms
Malayalam,ml,mal,,mal_Mlym,mal,,,ml,__ml__,ml_IN,,,mal_Mlym,,ml
Maltese,mt,mlt,,mlt,mlt,,,mt,,,mt-MT,mt,mlt_Latn,,mt
Manipuri,,,,mni,,,,,,,,,mni_Beng,,
Manx,gv,glv,,,glv,,,,,,gv-IM,gv,,,
Maori,mi,mao,mri,mri,mao,,,mi,,,mi-NZ,mi,mri_Latn,,mi
Marathi,mr,mar,,mar_Deva,mar,,,mr,__mr__,mr_IN,,,mar_Deva,,mr
Mari,,chm,,,,,,chm,,,,,,,
Marshallese,mh,mah,,,mah,,,,,,mh-MH,mh,,,
Meitei (Manipuri),,,,,,,,mni-Mtei,,,,,,,
Mende,,men,,,,,,,,,men-SL,men,,,
Mesopotamian Arabic,,,,acm,,,,,,,,,acm_Arab,,
Minangkabau,,min,,min,,,,min,,,,,min_Latn,,
Mongolian,mn,mon,,,,,,mn,__mn__,mn_MN,mn-MN,mn,,,mn
Morisyen,,,,mfe,,,,,,,mfe-MU,mfe,,,
Moroccan Arabic,,,,ary,,,,,,,,,ary_Arab,,
Mossi,,,,mos,,,,,,,,,mos_Latn,,
N'Ko,,nqo,,,nqo,,,,,,,,,,
Najdi Arabic,,,,ars,,,,,,,,,ars_Arab,,
Ndebele; South; South Ndebele,nr,nbl,,,nbl,,,nr,,,,,,,
Nepal Bhasa; Newari,,new,,,,,,new,,,,,,,
Nepali Individual Language,,,,npi,,,,,,,,,npi_Deva,,
Nepali,ne,nep,,,nep,,,ne,__ne__,ne_NP,ne-NP,ne,,,ne
Ngazidja Comorian,,,,zdj,,,,,,,zdj-KM,zdj,,,
Nigerian Fulfulde,,,,fuv,,,,,,,,,fuv_Latn,,
Niuean,,niu,,,,,,,,,niu-NU,niu,,,
North Azerbaijani,,,,azj,,,,,,,,,azj_Latn,,
North Levantine Arabic,,,,apc,,,,,,,,,apc_Arab,,
Northern Kurdish,,,,kmr,,,,,,,,,kmr_Latn,,
Northern Sami,se,sme,,sme,sme,,,,,,,,,,
Northern Sotho,,nso,,nso_Latn,,,,nso,__ns__,,,,nso_Latn,,
Northern Uzbek,,,,uzn,,,,,,,,,uzn_Latn,,
Norwegian Bokmål,nb,nob,,nob,nob,,NB,,,,,,nob_Latn,,
Norwegian Nynorsk,nn,nno,,nno,nno,,,,,,,,nno_Latn,,
Norwegian,no,nor,,,nor,,,no,__no__,,no-NO,no,,,no
Nuer,,,,nus,,,,nus,,,,,nus_Latn,,
Occitan (post 1500),oc,oci,,oci_Latn,oci,,,oc,__oc__,,,,oci_Latn,,
Odia,,,,ory,,,,,,,,,ory_Orya,,
Ojibwa,oj,oji,,,oji,,,,,,,,,,
Oriya,or,ori,,,ori,,,or,__or__,,,,,,
Oromo,om,orm,,,orm,,,om,,,,,,,
Ossetian; Ossetic,os,oss,,,oss,,,,,,,,,,
Palauan,,pau,,,,,,,,,pau-PW,pau,,,
Pampanga; Kapampangan,,pam,,,pam,,,pam,,,,,,,
Pangasinan,,pag,,pag,,,,pag,,,,,pag_Latn,,
Panjabi,pa,pan,,pan_Guru,pan,,,pa,__pa__,,pa-IN,pa,pan_Guru,,pa
Papiamento,,pap,,pap,pap,,,pap,,,pap-CW,pap,pap_Latn,,
Persian,fa,per,fas,,per,,,fa,__fa__,fa_IR,fa-IR,fa,,,fa
Pijin,,,,pis,,,,,,,pis-SB,pis,,,
Plateau Malagasy,,,,plt,,,,,,,,,plt_Latn,,
Polish,pl,pol,,pol_Latn,pl,,PL,pl,__pl__,pl_PL,pl-PL,pl,pol_Latn,,pl
Portuguese,pt,por,,por_Latn,pt,pt,PT,pt,__pt__,pt_XX,pt-PT,pt,por_Latn,pt,pt
Potawatomi,,,,pot,pot,,,,,,pot-US,pot,,,
Punjabi,,,,,,,,pa-Arab,,,,,,,
Pushto,ps,pus,,,pus,,,ps,__ps__,ps_AF,ps-PK,ps,,,ps
Quechua,qu,que,,que,que,,,qu,,,qu-PE,qu,,,
Querétaro Otomi,,,,,,,,,,,,,,,otq
Rajput Garasia,,,,gra,gra,,,,,,,,,,
Romanian,ro,rum,ron,ron_Latn,ro,,RO,ro,__ro__,ro_RO,ro-RO,ro,ron_Latn,,ro
Romansh,rm,roh,,,roh,,,,,,rm-RO,rm,,,
Romany,,rom,,,rom,,,rom,,,,,,,
Rundi,rn,run,,run,,,,rn,,,rn-BI,rn,run_Latn,,
Russian,ru,rus,,rus_Cyrl,ru,ru,RU,ru,__ru__,ru_RU,ru-RU,ru,rus_Cyrl,ru,ru
Saint Lucian Creole French,,,,acf,,,,,,,acf-LC,acf,,,
Samoan,sm,smo,,smo,sm,,,sm,,,sm-WS,sm,smo_Latn,,sm
Sango,sg,sag,,sag,,,,sg,,,sg-CF,sg,sag_Latn,,
Sanskrit,sa,san,,san,san,,,sa,,,,,san_Deva,,
Santali,,,,sat,,,,,,,,,sat_Beng,,
Sardinian,,,,srd,srd,,,,,,,,srd_Latn,,
Scots,,sco,,,sco,,,,,,,,,,
Sechelt,,,,sec,sec,,,,,,,,,,
Serbian Latin,,,,,,,,,,,,,,,sr-Latn
Serbian,sr,srp,,srp_Cyrl,srp,,,sr,__sr__,,sr-RS,sr,srp_Cyrl,,sr-Cyrl
Seselwa Creole French,,,,crs,,,,crs,,,crs-SC,crs,,,
Shall-Zwall,,,,sha,sha,,,,,,,,,,
Shan,,shn,,shn,,,,shn,,,,,shn_Mymr,,
Shona,sn,sna,,sna,sna,,,sn,,,sn-ZW,sn,sna_Latn,,sn
Sicilian,,scn,,scn,,,,scn,,,,,scn_Latn,,
Silesian,,,,szl,,,,szl,,,,,szl_Latn,,
Sindhi,sd,snd,,snd_Arab,snd,,,sd,__sd__,,,,snd_Arab,,sd
Sinhala,si,sin,,sin_Sinh,sin,,,si,__si__,si_LK,si-LK,si,sin_Sinh,,si
Slovak,sk,slo,slk,slk_Latn,sk,,SK,sk,__sk__,,sk-SK,sk,slk_Latn,,sk
Slovenian,sl,slv,,slv_Latn,,,SL,sl,__sl__,sl_SI,sl-SI,sl,slv_Latn,,sl
Solos,,,,sol,sol,,,,,,,,,,
Somali,so,som,,som_Latn,som,,,so,__so__,,so-SO,so,som_Latn,,so
Sotho; Southern,st,sot,,,sot,,,st,,,st-ST,st,,,st
South Azerbaijani,,,,azb,,,,,,,,,azb_Arab,,
South Levantine Arabic,,,,ajp,,,,,,,,,ajp_Arab,,
Southern Pashto,,,,pbt,,,,,,,,,pbt_Arab,,
Southern Sotho,,,,sot,,,,,,,,,sot_Latn,,
Southwestern Dinka,,,,dik,,,,,,,,,dik_Latn,,
Spanish,es,spa,,spa_Latn,spa,es,ES,es,__es__,es_XX,es-ES,es,spa_Latn,es,es
Sranan Tongo,,srn,,,,,,,,,srn-SR,srn,,,
Standard Arabic,,,,arb,,,,,,,,,arb_Arab,,
Standard Latvian,,,,lvs,,,,,,,,,lvs_Latn,,
Standard Malay,,,,zsm,,,,,,,,,zsm_Latn,,
Sundanese,su,sun,,sun_Latn,sun,,,su,__su__,,,,sun_Latn,,su
Swahili Individual Language,,,,swh,,,,,,,,,swh_Latn,,
Swahili,sw,swa,,,swa,,,sw,__sw__,sw_KE,sw-SZ,sw,,,sw
Swati,ss,ssw,,ssw_Latn,,,,ss,__ss__,,,,ssw_Latn,,
Swedish,sv,swe,,swe_Latn,swe,,SV,sv,__sv__,sv_SE,sv-SE,sv,swe_Latn,,sv
Swiss German,,,,,,,,,,,de-CH,,,,
Syriac,,syr,,,syr,,,,,,,,,,
Sãotomense,,,,cri,cri,,,,,,,,,,
Ta'izzi-Adeni Arabic,,,,acq,,,,,,,,,acq_Arab,,
Tagalog,tl,tgl,,tgl_Latn,tgl,,,tl,__tl__,tl_XX,tl-PH,tl,tgl_Latn,,tl
Tahitian,,,,,,,,,,,,,,,ty
Tajik,tg,tgk,,tgk,tgk,,,tg,,,tg-TJ,tg,tgk_Cyrl,,tg
Tamashek,,tmh,,,,,,,,,tmh-DZ,tmh,,,
Tamasheq Latin,,,,,,,,,,,,,taq_Latn,,
Tamasheq,,,,taq,,,,,,,,,taq_Tfng,,
Tamil,ta,tam,,tam_Taml,tam,,,ta,__ta__,ta_IN,ta-LK,ta,tam_Taml,,ta
Tatar,tt,tat,,tat,tat,,,tt,,,,,tat_Cyrl,,
Telugu,te,,,tel,tel,,,te,,te_IN,te-IN,te,tel_Telu,,te
Tetum,,tet,,,tet,,,tet,,,tet-TL,tet,,,
Thai,th,tha,,tha_Thai,th,,,th,__th__,th_TH,th-TH,th,tha_Thai,th,th
Tibetan,bo,tib,bod,bod,,,,,,,bo-CN,bo,bod_Tibt,,
Tigrinya,ti,tir,,tir,tir,,,ti,,,ti-TI,ti,tir_Ethi,,
Tok Pisin,,tpi,,,,,,,,,tpi-PG,tpi,,,
Tok Tok Pisin,,,,tpi,,,,,,,,,tpi_Latn,,
Tokelau,,tkl,,,,,,,,,tkl-TK,tkl,,,
Tonga (Tonga Islands),to,ton,,,,,,,,,to-TO,to,,,to
Tosk Albanian,,,,als,,,,,,,,,als_Latn,,
Tsonga,ts,tso,,tso,tso,,,ts,,,,,tso_Latn,,
Tswana,tn,tsn,,tsn_Latn,,,,tn,__tn__,,tn-BW,tn,tsn_Latn,,
Tumbuka,,,,tum,,,,,,,,,tum_Latn,,
Tumulung Sisaala,,,,sil,sil,,,,,,,,,,
Tunisian Arabic,,,,aeb,,,,,,,,,aeb_Arab,,
Turkish,tr,tur,,tur_Latn,tr,tr,TR,tr,__tr__,tr_TR,tr-TR,tr,tur_Latn,,tr
Turkmen,tk,tuk,,tuk,tuk,,,tk,,,tk-TM,tk,tuk_Latn,,
Tuvalu,,tvl,,,,,,,,,tvl-TV,tvl,,,
Twi,,,,twi,twi,,,,,,,,twi_Latn,,
Uighur; Uyghur,ug,uig,,uig,,,,ug,,,,,uig_Arab,,
Ukrainian,uk,ukr,,ukr_Cyrl,ukr,,UK,uk,__uk__,uk_UA,uk-UA,uk,ukr_Cyrl,,uk
Uma,,,,ppk,,,,,,,ppk-ID,ppk,,,
Umbundu,,,,umb,,,,,,,,,umb_Latn,,
Upper Guinea Crioulo,,,,pov,,,,,,,pov-GW,pov,,,
Upper Sorbian,,hsb,,hsb,ups,,,,,,,,,,
Urdu,ur,urd,,urd_Arab,urd,,,ur,__ur__,ur_PK,ur-PK,ur,urd_Arab,,ur
Uzbek,uz,uzb,,,,,,uz,__uz__,,uz-UZ,uz,,,uz
Venda,ve,ven,,,ven,,,,,,,,,,
Venetian,,,,vec,,,,,,,,,vec_Latn,,
Vietnamese,vi,vie,,vie_Latn,vie,vi,,vi,__vi__,vi_VN,vi-VN,vi,vie_Latn,vi,vi
Vincentian Creole English,,,,svc,,,,,,,svc-VC,svc,,,
Virgin Islands Creole English,,,,vic,,,,,,,vic-US,vic,,,
Volapük,vo,vol,,vol,,,,,,,,,,,
Wallisian,,,,wls,,,,,,,wls-WF,wls,,,
Walloon,wa,wln,,wln,wln,,,,,,,,,,
Waray,,,,war,,,,,,,,,war_Latn,,
Welsh,cy,wel,cym,cym_Latn,wel,,,cy,__cy__,,cy-GB,cy,cym_Latn,,cy
West Central Oromo,,,,gaz,,,,,,,,,gaz_Latn,,
Western Frisian,fy,fry,,,fry,,,fy,__fy__,,,,,,fy
Wiarumus,,,,tua,tua,,,,,,,,,,
Wolof,wo,wol,,wol_Latn,wol,,,,__wo__,,wo-SN,wo,wol_Latn,,
Xhosa,xh,xho,,xho_Latn,xho,,,xh,__xh__,xh_ZA,xh-ZA,xh,xho_Latn,,xh
Yiddish,yi,yid,,,yid,,,yi,__yi__,,yi-YD,yi,,,yi
Yoruba,yo,yor,,yor_Latn,yor,,,yo,__yo__,,,,yor_Latn,,yo
Yucateco,,,,yua,,,,yua,,,,,,,yua
Yue Chinese,,,,yue,yue,,,yue,,,,,yue_Hant,,yue
Zari,,,,zaz,zaz,,,,,,,,,,
Zulu,zu,zul,,zul_Latn,zul,,,zu,__zu__,,zu-ZA,zu,zul_Latn,,zu
